"ID","CORE_TEXT","EXT_TEXT","he wrote","Van Gogh wrote","complementary colours","The Potato Eaters","this torso of Venus","drew","standing torso of Venus","which he painted a number of times","He would use this technique more than once in his later work","Head of a Woman","Head of a Man","Head of a Woman 1","Head of a Woman 2","Head of a Woman 3","Torso of Venus","Horse","Torso of Venus 1","Male Torso","Kneeling Ecorche","Torso of Venus 2","Portrait of a Prostitute","Head of an Old Man","Head of a Woman 4","Plaster Cast of a Womans Torso","Plaster Cast of a Womans Torso 1","Torso of Venus 3","Woman Sewing","Letter from Vincent van Gogh to Theo van Gogh with sketches of Head of a Woman and Head of a Woman","Head of a Prostitute","1885","Nuenen","painting","1887","Paris","cityscape","portrait","landscape representation","still life","1890","AuverssurOise","animal art","drawing","1884","study","figure representation","heads","Antwerp","1886","nude","1881","Brussels"
"s0201V1962","Torso of Venus oil on cardboard 353 cm x 272 cm This painting is one of a series of studies of plaster models Van Gogh owned around eleven such models of sculptures from classical antiquity or the Renaissance Among them was this standing torso of Venus which he painted a number of timesNoneNoneAmong other things Van Gogh was experimenting with the effect of different kinds of background Here he has placed his brushstrokes at rightangles to each other so that they look rather like wickerwork He would use this technique more than once in his later work","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation Left by the artist at the apartment of his brother Theo van Gogh Paris mid June 1886 after Theos death on 25 January 1891 inherited by his widow Jo van GoghBonger and their son Vincent Willem van Gogh Paris administered until her death on 2 September 1925 by Jo van GoghBonger BussumAmsterdamLaren transferred by Vincent Willem van Gogh Laren on 10 July 1962 to the Vincent van Gogh Foundation Amsterdam agreement concluded on 21 July 1962 between the Vincent van Gogh Foundation and the State of the Netherlands in which the preservation and management of the collection and its placing in the Rijksmuseum Vincent van Gogh to be realized in Amsterdam is entrusted to the State given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum Amsterdam on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum Amsterdam since 1 July 1994","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://www.vangoghmuseum.nl/en/collection/s0089V1962","https://www.vangoghmuseum.nl/en/collection/s0032V1962","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection/s0056V1962","https://vangoghmuseum.nl/en/collection/s0202V1962","https://vangoghmuseum.nl/en/collection/s0089V1962","https://vangoghmuseum.nl/en/collection/s0103V1962","https://vangoghmuseum.nl/en/collection/s0102V1962","https://vangoghmuseum.nl/en/collection/s0101V1962","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","https://vangoghmuseum.nl/en/collection?Place=Paris","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=still life","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=study","https://vangoghmuseum.nl/en/collection?Genre=figure (representation)","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1886","https://vangoghmuseum.nl/en/collection?Genre=nude","localhost","localhost"
"s0202V1962","Horse oil on cardboard 331 cm x 409 cm For this study in oils Van Gogh used a small plaster model of a horse He was then studying at the Antwerp art academy There drawing was taught with the help of models like these but painting had to be practiced at home He painted this little horse on cardboard instead of canvas because that was much cheaperNoneNoneThe model was preserved by the Van Gogh family through the years It is now part of the Van Gogh Museum collection","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation Left by the artist at the apartment of his brother Theo van Gogh Paris mid June 1886 after Theos death on 25 January 1891 inherited by his widow Jo van GoghBonger and their son Vincent Willem van Gogh Paris administered until her death on 2 September 1925 by Jo van GoghBonger BussumAmsterdamLaren transferred by Vincent Willem van Gogh Laren on 10 July 1962 to the Vincent van Gogh Foundation Amsterdam ratified 28 December 1970 agreement concluded on 21 July 1962 between the Vincent van Gogh Foundation and the State of the Netherlands in which the preservation and management of the collection and its placing in the Rijksmuseum Vincent van Gogh to be realized in Amsterdam is entrusted to the State given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum Amsterdam on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum Amsterdam since 1 July 1994","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection/s0056V1962","localhost","https://vangoghmuseum.nl/en/collection/s0089V1962","https://vangoghmuseum.nl/en/collection/s0103V1962","https://vangoghmuseum.nl/en/collection/s0102V1962","https://vangoghmuseum.nl/en/collection/s0101V1962","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection/s0201V1962","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","https://vangoghmuseum.nl/en/collection?Place=Paris","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=still life","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=animal art","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=study","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1886","localhost","localhost","localhost"
"s0257V1962","Portrait of Gauguin oil on burlap on panel 382 cm x 338 cm Van Gogh painted his friend the artist Paul Gauguin in their studio in the Yellow House He made this small portrait on jutean unusual but inexpensive material Gauguin had bought some in Arles for the two of them to use The coarse structure of the cloth made painting difficult so Van Gogh applied the paint thickly and opted for a strong redgreen contrastNoneNoneHe wrote to his brother Theo that Gauguin was working on a big still life of an orange pumpkin and some apples and white linen on a yellow background and foreground Gauguin was probably working on that still life while Van Gogh painted this portrait you can see the yellow background and spherical form on the left","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation With his brother Theo van Gogh Paris after December 1888 after Theos death on 25 January 1891 inherited by his widow Jo van GoghBonger and their son Vincent Willem van Gogh Paris administered until her death on 2 September 1925 by Jo van GoghBonger BussumAmsterdamLaren transferred by Vincent Willem van Gogh Laren on 10 July 1962 to the Vincent van Gogh Foundation Amsterdam agreement concluded on 21 July 1962 between the Vincent van Gogh Foundation and the State of the Netherlands in which the preservation and management of the collection and its placing in the Rijksmuseum Vincent van Gogh to be realized in Amsterdam is entrusted to the State given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum Amsterdam on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum Amsterdam since 1 July 1994","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=portrait","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0343V1966","Head of a Woman oil on canvas on panel 478 cm x 348 cm ?","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation Probably left by the artist with his mother AC van GoghCarbentus NuenenBreda sometime between November 1885 and February 1886 given in safekeeping to Janus Schrauwen Breda April 1888 left with Janus Schrauwen by AC van GoghCarbentus after her move to Leiden 1889 sold by Janus Schrauwen to Jan C Couvreur 14 August 1902 sold by Jan C Couvreur to Kees Mouwen Jr and Willem van Bakel Breda 190203 given on consignment by Kees Mouwen Jr and Willem van Bakel to Kunstzalen Oldenzeel Rotterdam 190304 probably sold by Kunstzalen Oldenzeel to HP Bremmer The Hague after his death on 10 January 1956 bequeathed to his inheritance sold by the inheritance to Kunsthandel Van Wisselingh Amsterdam 1960 1962 sold by Kunsthandel Van Wisselingh to HAD Thomas Amsterdam after his death in 1964 inherited by his mother D ThomasMager Amsterdam after her death in 1965 donated to the Vincent van Gogh Foundation given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum Amsterdam on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum Amsterdam since 1 July 1994","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1885","https://vangoghmuseum.nl/en/collection?Place=Nuenen","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1884","https://vangoghmuseum.nl/en/collection?Type=study","https://vangoghmuseum.nl/en/collection?Genre=figure (representation)","https://vangoghmuseum.nl/en/collection?Genre=heads","localhost","localhost","localhost","localhost","localhost"
"s0416N1990","View of the Sea at Scheveningen oil on paper on canvas 364 cm x 519 cm ?","Credits Van Gogh Museum Amsterdam State of the Netherlands bequest of AE Ribbius Peletier Probably left by the artist with his mother AC van GoghCarbentus NuenenBreda sometime between November 1885 and February 1886 given in safekeeping to Janus Schrauwen Breda April 1888 left with Janus Schrauwen by AC van GoghCarbentus after her move to Leiden 1889 sold by Janus Schrauwen to Jan C Couvreur 14 August 1902 sold by Jan C Couvreur to Kees Mouwen Jr and Willem van Bakel Breda 190203 given on consignment by Kees Mouwen Jr and Willem van Bakel to Kunstzalen Oldenzeel Rotterdam sold by Kunstzalen Oldenzeel at their exhibition Vincent van Gogh Bwogen zee to G Ribbius Peletier Utrecht for NLG 2500 January 1903 after his death on 10 November 1930 inherited by his widow A Ribbius PeletierWijbelingh Utrecht after her death on 3 December 1939 inherited by her daughter AE Ribbius Peletier AmsterdamScheveningen after her death on 30 September 1989 her legacy in 1990 to the State of the Netherlands for installation in the Rijksmuseum Vincent van Gogh and at the Van Gogh Museum Amsterdam since 1 July 1994","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0417N1990","View of the Alpilles oil on canvas 33 cm x 285 cm Bluishpurple mountains stand out against the sky The rugged bare rock faces contrast with the charm of the flowering trees in the foreground Van Gogh made this little painting in the walled wheatfield next to the hospital in SaintRemy FR He could look out of his bedroom window onto that field with the Alpilles mountain range in the distanceNoneNoneHe wrote to Theo I could certainly do an entire series of these Alpilles for having seen them for a long time now Ive got used to it a little","Credits Van Gogh Museum Amsterdam State of the Netherlands bequest of AE Ribbius Peletier With his brother Theo van Gogh Paris after June 1890 after Theos death on 25 January 1891 inherited by his widow Jo van GoghBonger and their son Vincent Willem van Gogh Paris Kunsthandel CM van Gogh Amsterdam before 1918 sold by Kunsthandel CM van Gogh JH de Bois to G Ribbius Peletier Utrecht for NLG 1800 June 1918 after his death on 10 November 1930 inherited by his widow A Ribbius PeletierWijbelingh Utrecht after her death on 3 December 1939 inherited by her daughter AE Ribbius Peletier AmsterdamScheveningen after her death on 30 September 1989 her legacy in 1990 to the State of the Netherlands for installation in the Rijksmuseum Vincent van Gogh and at the Van Gogh Museum Amsterdam since 1 July 1994","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=landscape (representation)","localhost","https://vangoghmuseum.nl/en/collection?Date=1890","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0452S1995","Woman Lifting Potatoes oil on canvas on panel 418 cm x 325 cm This farm worker is lifting potatoes out of the soil with a fork For Van Gogh this painting was an exercise in modelling figures Having been criticised for the stiff flat figures in The Potato Eaters he was trying to give this one a bit more life and volume The womans pose is still slightly rigid The proportions are not quite right either her head is too small compared to her body her hands are huge and her wooden shoes are gigantic In the sky there is a tiny hint of blue","Credits Van Gogh Museum Amsterdam bequest of Dr M Rehfisch Probably left by the artist with his mother AC van GoghCarbentus NuenenBreda sometime between November 1885 and February 1886 given in safekeeping to Janus Schrauwen Breda April 1888 left with Janus Schrauwen by AC van GoghCarbentus after her move to Leiden 1889 sold by Janus Schrauwen to Jan C Couvreur 14 August 1902 sold by Jan C Couvreur to Kees Mouwen Jr and Willem van Bakel Breda 190203 given on consignment by Kees Mouwen Jr and Willem van Bakel to Kunstzalen Oldenzeel Rotterdam 1904 sold by Kunstzalen Oldenzeel to J Smit Alblasserdam probably at their exhibition Tentoonstelling van werken door Vincent van Gogh cat 23 Spittende vrouw after his death in 1918 sold at sale 10 February 1919 Amsterdam Mak Eene bekende en fraaie verzameling moderne schilderijen en eenige beeldhouwwerken lot 33 Aardappelenrooister for NLG 3100 to JJ Enthoven Voorburg 1952 sold by JJ Enthoven to Kunsthandel W Brinkman Schipluiden sold by W Brinkman to M Rehfisch Laren after 1952 after her death on 2 March 1994 her legacy in 1995 the Van Gogh Museum Amsterdam","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1885","https://vangoghmuseum.nl/en/collection?Place=Nuenen","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=landscape (representation)","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0548S2019","Peasant Burning Weeds oil on canvas on panel 305 cm x 395 cm ?","Credits obliged to state Van Gogh Museum Amsterdam Drents Museum Assen purchased with support from the BankGiro Loterij Mondriaan Fund Rembrandt Association with the additional support from her Themafonds ImpressionismeClaude Monet Fonds her Hendrickje Fonds and the Prins Bernhard Cultuurfonds Vincent van Gogh Stichting Province of Drenthe Stichting Beringer Hazewinkel Stichting Steunfonds Drents Museum and Stichting Vrienden van het Drents Museum Probably left by the artist with his mother AC van GoghCarbentus NuenenBreda sometime between November 1885 and February 1886 given in safekeeping in April 1888 to Janus Schrauwen Breda left in 1889 with Janus Schrauwen by AC van GoghCarbentus after her move to Leiden sold on 14 August 1902 by Janus Schrauwen to Jan C Couvreur sold in 190203 by Jan C Couvreur to Kees Mouwen Jr and Willem van Bakel Breda given on consignment by Kees Mouwen Jr and Willem van Bakel to Kunstzalen Oldenzeel Rotterdam 3 May 1904 Kees Mouwen Jr at sale Amsterdam Frederik Muller Vincent van Gogh Tableaux aquarelles dessins lot 12 Un homme incendiant la bruyere bought by Kunsthandel Buffa Amsterdam for NLG 135 sold by Kunsthandel Buffa to Herman Gorter Bussum sold to Kunstzaal dAudretsch The Hague probably after his death on 15 September 1927 sold by Kunstzaal dAudretsch to Daniel G van Beuningen Rotterdam 1928 with Kunsthandel Jacques Goudstikker Amsterdam before his death on 16 May 1940 looted by the Nazi authorities July 1940 89 October 1940 sale Amsterdam Frederik Muller Moderne schilderijen aquarellen teekeningen etc afkomstig van de collectie van wijlen J Goudstikker Amsterdam lot 13 Landman een vuur stokend Brabantsche tijd bought by HE dAudretsch Amerongen for NLG 1250 sold by HE dAudretsch to T Berdien Almelo 1941 with his son Bouke Berdien Mayaguez Puerto Rico July 1983 12 May 1987 sale New York Christies Impressionist and modern paintings and sculpture part I lot 22 Paysan brulant de mauvaises herbes bought by a private collector for USD 231000 15 November 1989 sale New York Christies Impressionist and modern drawings and watercolors lot 360 Paysan brulant des mauvaises herbes bought by a private collector for USD 440000 restituted to the heir of Jacques Goudstikker 2019 13 November 2019 sale New York Sothebys Impressionist Modern Art Day Sale Including a Musical Feast Works from the Collection of Marina Picasso lot 118 Paysan brulant de mauvaises herbes bought by the Van Gogh Museum and the Drents Museum Assen","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"d0001V1962","Woman Preparing a Meal chalk paint on paper 304 cm x 371 cm ?","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation With his brother Theo van Gogh Paris after April 1885 after Theos death on 25 January 1891 inherited by his widow Jo van GoghBonger and their son Vincent Willem van Gogh Paris administered until her death on 2 September 1925 by Jo van GoghBonger BussumAmsterdamLaren given on loan by Vincent Willem van Gogh Laren to the Stedelijk Museum Amsterdam since 22 October 1931 transferred by Vincent Willem van Gogh on 10 July 1962 to the Vincent van Gogh Foundation Amsterdam agreement concluded on 21 July 1962 between the Vincent van Gogh Foundation and the State of the Netherlands in which the preservation and management of the collection and its placing in the Rijksmuseum Vincent van Gogh to be realized in Amsterdam is entrusted to the State given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum Amsterdam on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum Amsterdam since 1 July 1994","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1885","https://vangoghmuseum.nl/en/collection?Place=Nuenen","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=drawing","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"d0002V1962","Seated Woman pencil on paper 346 cm x 211 cm ?","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation With his brother Theo van Gogh Paris after May 1885 after Theos death on 25 January 1891 inherited by his widow Jo van GoghBonger and their son Vincent Willem van Gogh Paris administered until her death on 2 September 1925 by Jo van GoghBonger BussumAmsterdamLaren transferred by Vincent Willem van Gogh Laren on 10 July 1962 to the Vincent van Gogh Foundation Amsterdam agreement concluded on 21 July 1962 between the Vincent van Gogh Foundation and the State of the Netherlands in which the preservation and management of the collection and its placing in the Rijksmuseum Vincent van Gogh to be realized in Amsterdam is entrusted to the State given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum Amsterdam on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum Amsterdam since 1 July 1994","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1885","https://vangoghmuseum.nl/en/collection?Place=Nuenen","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=drawing","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=figure (representation)","localhost","localhost","localhost","localhost","localhost","localhost"
"d0003V1962","Young Man with a Pipe pencil and watercolour on paper 399 cm x 284 cm ?","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation With his brother Theo van Gogh Paris after March 1884 after Theos death on 25 January 1891 inherited by his widow Jo van GoghBonger and their son Vincent Willem van Gogh Paris administered until her death on 2 September 1925 by Jo van GoghBonger BussumAmsterdamLaren given on loan by Vincent Willem van Gogh Laren to the Stedelijk Museum Amsterdam since 22 October 1931 transferred by Vincent Willem van Gogh on 10 July 1962 to the Vincent van Gogh Foundation Amsterdam agreement concluded on 21 July 1962 between the Vincent van Gogh Foundation and the State of the Netherlands in which the preservation and management of the collection and its placing in the Rijksmuseum Vincent van Gogh to be realized in Amsterdam is entrusted to the State given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum Amsterdam on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum Amsterdam since 1 July 1994","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Place=Nuenen","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=drawing","https://vangoghmuseum.nl/en/collection?Date=1884","localhost","https://vangoghmuseum.nl/en/collection?Genre=figure (representation)","localhost","localhost","localhost","localhost","localhost","localhost"
"d0004V1962","Woman Sewing chalk paint on paper 305 cm x 369 cm ?","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation With his brother Theo van Gogh Paris after April 1885 after Theos death on 25 January 1891 inherited by his widow Jo van GoghBonger and their son Vincent Willem van Gogh Paris administered until her death on 2 September 1925 by Jo van GoghBonger BussumAmsterdamLaren transferred by Vincent Willem van Gogh Laren on 10 July 1962 to the Vincent van Gogh Foundation Amsterdam agreement concluded on 21 July 1962 between the Vincent van Gogh Foundation and the State of the Netherlands in which the preservation and management of the collection and its placing in the Rijksmuseum Vincent van Gogh to be realized in Amsterdam is entrusted to the State given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum Amsterdam on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum Amsterdam since 1 July 1994","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1885","https://vangoghmuseum.nl/en/collection?Place=Nuenen","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=drawing","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"d0005V1962","Woman Sewing chalk on paper 280 cm x 203 cm ?","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation With his brother Theo van Gogh Paris after April 1885 after Theos death on 25 January 1891 inherited by his widow Jo van GoghBonger and their son Vincent Willem van Gogh Paris administered until her death on 2 September 1925 by Jo van GoghBonger BussumAmsterdamLaren transferred by Vincent Willem van Gogh Laren on 10 July 1962 to the Vincent van Gogh Foundation Amsterdam agreement concluded on 21 July 1962 between the Vincent van Gogh Foundation and the State of the Netherlands in which the preservation and management of the collection and its placing in the Rijksmuseum Vincent van Gogh to be realized in Amsterdam is entrusted to the State given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum Amsterdam on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum Amsterdam since 1 July 1994","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1885","https://vangoghmuseum.nl/en/collection?Place=Nuenen","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=drawing","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"d0006V1962","Woman Peeling Potatoes chalk on paper 287 cm x 226 cm ?","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation With his brother Theo van Gogh Paris after April 1885 after Theos death on 25 January 1891 inherited by his widow Jo van GoghBonger and their son Vincent Willem van Gogh Paris administered until her death on 2 September 1925 by Jo van GoghBonger BussumAmsterdamLaren transferred by Vincent Willem van Gogh Laren on 10 July 1962 to the Vincent van Gogh Foundation Amsterdam agreement concluded on 21 July 1962 between the Vincent van Gogh Foundation and the State of the Netherlands in which the preservation and management of the collection and its placing in the Rijksmuseum Vincent van Gogh to be realized in Amsterdam is entrusted to the State given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum Amsterdam on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum Amsterdam since 1 July 1994","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1885","https://vangoghmuseum.nl/en/collection?Place=Nuenen","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=drawing","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"d0007V1962","Woman Peeling Potatoes chalk on paper 304 cm x 232 cm ?","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation With his brother Theo van Gogh Paris after April 1885 after Theos death on 25 January 1891 inherited by his widow Jo van GoghBonger and their son Vincent Willem van Gogh Paris administered until her death on 2 September 1925 by Jo van GoghBonger BussumAmsterdamLaren transferred by Vincent Willem van Gogh Laren on 10 July 1962 to the Vincent van Gogh Foundation Amsterdam agreement concluded on 21 July 1962 between the Vincent van Gogh Foundation and the State of the Netherlands in which the preservation and management of the collection and its placing in the Rijksmuseum Vincent van Gogh to be realized in Amsterdam is entrusted to the State given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum Amsterdam on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum Amsterdam since 1 July 1994","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1885","https://vangoghmuseum.nl/en/collection?Place=Nuenen","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=drawing","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
